CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Gender_Int,Geography_Germany,Geography_Spain,Balance_Int,PC1
722,29,9,0.0,2,1,1,142033.07,0,1,0,1,0,-1.465222880803668
475,45,0,134264.04,1,1,0,27822.99,1,1,0,0,1,1.3472608066309926
490,31,3,145260.23,1,0,1,114066.77,0,0,0,1,1,-1.1520017039170902
804,33,7,76548.6,1,0,1,98453.45,0,0,0,1,1,-1.397875456158365
850,36,7,0.0,1,1,1,40812.9,0,0,0,0,0,-1.4684775221572257
582,41,6,70349.48,2,0,1,178074.04,0,0,1,0,1,0.13846089041372966
472,40,4,0.0,1,1,0,70154.22,0,0,0,1,0,0.14669748430557833
465,51,8,122522.32,1,0,0,181297.65,1,1,0,0,1,1.79405781973967
556,61,2,117419.35,1,1,1,94153.83,0,1,0,0,1,1.519517990936978
834,49,2,131394.56,1,0,0,194365.76,1,1,0,0,1,1.502440781101443
660,61,5,155931.11,1,1,1,158338.39,0,1,0,1,1,1.5463042795720354
776,32,4,109421.13,2,1,1,126517.46,0,1,1,0,1,-0.1194105922012746
829,27,9,112045.67,1,1,1,119708.21,1,1,1,0,1,-0.495423917599661
637,39,9,137843.8,1,1,1,117622.8,1,1,1,0,1,0.6036386050276296
550,38,2,103391.38,1,0,1,90878.13,0,0,1,0,1,0.11239658052780153
776,37,2,103769.22,2,1,0,194099.12,0,1,1,0,1,1.292245306347992
698,44,10,116363.37,2,1,0,198059.16,0,0,1,0,1,1.2861172787889918
585,36,5,146050.97,2,0,0,86424.57,0,0,1,0,1,0.849143413912472
788,33,5,0.0,2,0,0,116978.19,0,1,0,0,0,-0.17394446792595417
655,41,8,125561.97,1,0,0,164040.94,1,0,1,0,1,1.2532694936492836
601,42,1,98495.72,1,1,0,40014.76,1,0,1,0,1,1.3117914008385059
619,43,1,125211.92,1,1,1,113410.49,0,0,0,0,1,-0.3872825907211631
656,45,5,127864.4,1,1,0,87107.57,0,0,0,0,1,0.6617529538078488
725,19,0,75888.2,1,0,0,45613.75,0,0,1,0,1,-0.5349168122793161
511,66,4,0.0,1,1,0,1643.11,1,1,0,1,0,2.608340984398945
614,51,4,40685.92,1,1,1,46775.28,0,0,0,0,1,-0.005245323700566914
742,35,5,136857.0,1,0,0,84509.57,0,0,1,0,1,0.7585603099737424
687,27,9,152328.88,2,0,0,126494.82,0,1,1,0,1,0.5850891161450817
555,33,1,56084.69,2,0,0,178798.13,0,0,0,1,1,-0.28700930228054133
684,56,8,78707.16,1,1,1,99398.36,0,0,0,1,1,0.4091360681472285
603,26,4,109166.37,1,1,1,92840.67,0,0,1,0,1,-0.8946033302228892
751,36,6,169831.46,2,1,1,27758.36,0,1,1,0,1,0.2504380419255197
581,34,1,101633.04,1,1,0,110431.51,0,1,1,0,1,1.2653072733378834
735,43,10,123180.01,2,1,1,196673.28,0,0,1,0,1,0.21852845894744227
661,35,5,150725.53,2,0,1,113656.85,0,1,1,0,1,0.2825699315656751
675,21,8,98373.26,1,1,0,18203.0,0,1,0,0,1,-0.8122879597272015
738,58,2,133745.44,4,1,0,28373.86,1,0,1,0,1,2.182199040228813
813,29,6,0.0,1,1,0,33953.87,0,0,0,0,0,-0.9943446252193081
657,37,0,163607.18,1,0,1,44203.55,0,1,0,1,1,-0.2391043084507413
604,25,5,157780.84,2,1,1,58426.81,0,1,1,0,1,-0.49690855163509073
519,36,9,0.0,2,0,1,145562.4,0,0,0,0,0,-1.303128774756982
735,21,1,178718.19,2,1,0,22388.0,0,1,0,0,1,-0.7067528773300655
664,55,8,0.0,2,1,1,139161.64,0,0,0,0,0,0.04180652641925236
678,32,9,0.0,1,1,1,148210.64,0,1,0,0,0,-1.1228743898395532
757,33,5,77253.22,1,0,1,194239.63,0,0,0,1,1,-1.294013462925992
416,41,10,122189.66,2,1,0,98301.61,0,1,1,0,1,1.7200251740160397
665,34,1,96645.54,2,0,0,171413.66,0,1,0,0,1,0.2835802171372957
777,32,2,0.0,1,1,0,136458.19,1,1,0,0,0,-0.12131295361472463
543,36,3,0.0,2,0,0,26019.59,0,1,0,0,0,0.20003569852623376
506,34,4,90307.62,1,1,1,159235.29,0,1,0,0,1,-0.5762420166319872
493,46,4,0.0,2,1,0,1907.66,0,1,0,0,0,0.9440582801994264
652,75,10,0.0,2,1,1,114675.75,0,1,0,1,0,2.0970759763404865
750,22,3,121681.82,1,1,0,128643.35,1,0,0,1,1,-1.1089359627937345
729,30,9,0.0,2,1,0,151869.35,0,0,0,0,0,-0.9540011979934747
646,46,4,0.0,3,1,0,93251.42,1,1,0,0,0,0.7799585029934899
635,28,3,81623.67,2,1,1,156791.36,0,1,1,0,1,-0.362674031457979
647,44,5,0.0,3,1,1,174205.22,1,1,0,1,0,-0.30070243071470126
808,45,7,118626.55,2,1,0,147132.46,0,0,0,0,1,0.4388771367284919
524,36,10,0.0,2,1,0,109614.57,0,1,0,0,0,0.12551583580129128
769,29,8,0.0,2,1,1,172290.61,0,0,0,0,0,-2.013392570245197
730,42,4,0.0,2,0,1,85982.47,0,0,0,1,0,-0.912704056796768
515,35,10,176273.95,1,0,1,121277.78,0,0,0,1,1,-0.8882866516011726
773,41,9,102827.44,1,0,1,64595.25,0,0,0,1,1,-0.7523446877280925
814,29,8,97086.4,2,1,1,197276.13,0,0,1,0,1,-0.9358049463718373
710,22,8,0.0,2,0,0,99645.04,0,0,0,1,0,-1.5071954112621666
413,34,9,0.0,2,0,0,6534.18,0,0,0,0,0,-0.4748378411696262
665,40,6,0.0,1,1,1,161848.03,0,1,0,0,0,-0.4521621574415252
623,44,6,0.0,2,0,0,167162.43,0,1,0,0,0,0.7913827597717429
738,31,9,82674.15,1,1,0,41970.72,0,0,0,0,1,-0.6330100344317442
528,36,7,0.0,2,1,0,60536.56,0,0,0,1,0,-0.3497786756986346
670,65,1,0.0,1,1,1,177655.68,1,1,0,1,0,1.5716203231882222
622,46,4,107073.27,2,1,1,30984.59,1,1,0,1,1,0.1648233496831631
582,32,1,88938.62,1,1,1,10054.53,0,0,1,0,1,-0.458212407996825
785,36,2,99806.85,1,0,1,36976.52,0,1,1,0,1,0.2896727351090952
605,33,5,150092.8,1,0,0,71862.79,0,0,0,1,1,-0.13063823754301937
479,35,9,92833.89,1,1,0,99449.86,1,0,1,0,1,0.7635680854594882
685,30,3,90536.81,1,0,1,63082.88,0,0,1,0,1,-0.6433854152656123
538,39,7,108055.1,2,1,0,27231.26,0,0,1,0,1,0.9475475313758347
562,42,2,100238.35,1,0,0,86797.41,0,0,0,0,1,0.5112287081770845
675,36,9,106190.55,1,0,1,22994.32,0,0,0,1,1,-1.0866995246847018
721,28,9,154475.54,2,0,1,101300.94,1,0,1,0,1,-0.8640448376959514
628,30,9,132351.29,2,1,1,74169.13,0,1,1,0,1,-0.22279892774352617
668,37,6,167864.4,1,1,0,115638.29,0,1,1,0,1,1.506287677999214
506,41,1,0.0,2,1,0,31766.3,0,1,0,0,0,0.6042769355024457
524,31,8,107818.63,1,1,0,199725.39,1,1,1,0,1,1.0334593203032107
699,34,4,185173.81,2,1,0,120834.48,0,0,1,0,1,0.6931414383863954
828,34,8,129433.34,2,0,0,38131.77,0,0,0,0,1,-0.43092786759206836
674,39,6,120193.42,1,0,0,100130.95,0,0,0,1,1,0.2279427971416837
656,39,6,0.0,2,1,0,141069.88,0,1,0,0,0,0.3383031008736263
684,48,10,126384.42,1,1,1,198129.36,0,1,1,0,1,1.2686366208106246
625,28,3,0.0,1,0,0,183646.41,0,1,0,0,0,-0.28705686910474776
432,42,9,152603.45,1,1,0,110265.24,1,0,0,0,1,0.5834494372498162
549,52,1,0.0,1,0,1,8636.05,1,1,0,0,0,0.5751206343885665
625,56,0,148507.24,1,1,0,46824.08,1,0,1,0,1,2.489154367637432
828,41,7,0.0,2,1,0,171378.77,0,1,0,0,0,0.38142627049236527
770,24,9,101827.07,1,1,0,167256.35,0,0,0,0,1,-1.0959202174152793
758,34,3,0.0,2,1,1,124226.16,0,1,0,0,0,-1.060828208363633
795,33,9,130862.43,1,1,1,114935.21,0,1,1,0,1,0.023567200632781386
687,38,9,122570.87,1,1,1,35608.88,0,0,0,0,1,-0.9644413709888439
686,25,1,0.0,2,0,1,16459.37,0,0,0,0,0,-2.2147441177688014
789,39,7,124828.46,2,1,1,124411.08,0,0,1,0,1,-0.11615160036938633
589,50,5,144895.05,2,1,1,34941.23,0,1,1,0,1,1.4018691713668372
461,34,5,63663.93,1,0,1,167784.28,0,1,1,0,1,0.29815456357256065
637,40,2,133463.1,1,0,1,93165.34,0,0,0,0,1,-0.60255648502333
584,48,2,213146.2,1,1,0,75161.25,1,1,0,1,1,1.686412919303018
579,35,1,129490.36,2,0,1,8590.83,1,1,0,1,1,-0.547197152278864
756,44,10,137452.09,1,1,0,189543.9,0,0,1,0,1,1.39345893372316
663,34,7,0.0,2,1,1,180427.24,0,0,0,0,0,-1.5421566088832643
682,43,5,125851.93,1,1,1,193318.33,0,1,0,0,1,0.0750619671230746
793,52,2,0.0,1,1,0,159123.82,1,0,0,1,0,0.9303592925400825
691,31,5,40915.55,1,1,0,126213.84,1,1,0,0,1,-0.07460870903687879
485,21,5,113157.22,1,1,1,54141.5,0,1,0,1,1,-1.5539108104161254
635,29,8,138296.94,2,1,0,141075.51,0,1,0,1,1,-0.11300347928131639
650,37,5,106967.18,1,0,0,24495.03,0,0,0,0,1,0.012841429488844362
735,44,9,120681.63,1,1,0,74836.34,0,0,0,0,1,0.4604862331812171
416,32,0,0.0,2,0,1,878.87,0,0,0,0,0,-1.4938494954443882
754,32,7,0.0,2,1,0,89520.75,0,1,0,1,0,-0.27431361536678694
535,48,9,0.0,1,1,0,149892.79,1,1,0,0,0,1.1826114559283025
716,42,8,0.0,2,1,0,180800.42,0,0,0,1,0,0.033662677862757326
539,37,2,127609.59,1,1,0,98646.22,0,0,0,0,1,0.1664390928530743
614,43,6,0.0,2,1,1,109041.53,0,1,0,0,0,-0.3206445800233504
706,57,7,0.0,1,1,0,17941.16,1,0,0,1,0,1.2391433222346397
758,33,7,0.0,2,0,0,82996.47,0,1,0,0,0,-0.19692793804305758
586,28,2,0.0,2,1,1,92067.35,0,1,0,1,0,-1.3848682535990224
646,73,6,97259.25,1,0,1,104719.66,0,1,0,0,1,2.331756791320548
631,33,4,123246.7,1,0,0,112687.57,0,1,1,0,1,1.1937423314659905
717,22,6,101060.25,1,0,1,84699.56,0,1,0,1,1,-1.6164608458292051
684,30,2,0.0,2,1,0,83473.82,0,0,0,0,0,-0.8646700614432749
800,49,7,108007.36,1,0,0,47125.11,0,1,0,0,1,1.3427500025052297
721,36,2,0.0,2,1,1,106977.8,0,1,0,1,0,-0.8496178950259404
683,29,0,133702.89,1,1,0,55582.54,1,0,0,1,1,-0.4975493753914999
660,31,9,125189.75,2,1,1,139874.43,0,0,1,0,1,-0.6666083698065547
704,24,7,113034.22,1,1,0,162503.48,1,1,1,0,1,0.3828329192240769
615,41,9,109013.23,1,1,0,196499.96,0,1,0,1,1,0.8875041283519511
667,39,2,0.0,2,1,0,40721.24,1,1,0,1,0,0.3643998633564371
682,24,9,57929.81,2,0,0,53134.3,0,0,1,0,1,-0.38012159255783445
484,29,4,130114.39,1,1,0,164017.89,0,1,0,0,1,0.11271228849828634
628,27,5,95826.49,2,1,0,155996.96,0,0,1,0,1,0.02812919695980342
480,44,10,129608.57,1,1,0,5472.7,1,0,1,0,1,1.470585522762049
578,30,4,169462.09,1,1,0,112187.11,0,0,0,0,1,-0.33583389956526055
512,40,5,0.0,2,1,1,146457.83,0,0,0,0,0,-0.9713429555087272
484,35,7,133868.21,1,1,1,27286.1,0,1,0,1,1,-0.47343888497420283
510,30,0,0.0,2,1,1,130553.47,0,1,0,0,0,-1.1646713504599777
606,36,5,190479.48,2,0,0,179351.89,0,0,1,0,1,0.966865745765805
597,40,8,101993.12,1,0,1,94774.12,0,1,0,1,1,-0.17172509921745993
754,55,3,161608.81,1,1,0,8080.85,1,1,1,0,1,2.8128913981607195
850,45,2,122311.21,1,1,1,19482.5,0,1,0,1,1,0.09786248310635447
510,65,2,0.0,2,1,1,48071.61,0,0,0,0,0,0.948384231180976
778,45,1,162150.42,2,1,0,174531.27,0,1,1,0,1,2.0257710899003105
636,42,2,0.0,2,1,1,55470.78,0,0,0,0,0,-0.9016476904076836
804,50,4,0.0,1,1,1,8546.87,1,1,0,0,0,0.18114395736606187
514,32,8,0.0,2,1,0,95857.18,0,0,0,0,0,-0.6732200303365604
730,39,1,99010.67,1,1,0,194945.8,0,1,0,0,1,0.7157489772143901
525,37,0,0.0,1,0,1,131521.72,0,1,0,1,0,-0.46498976391511515
616,30,5,0.0,2,0,1,196108.51,0,0,0,1,0,-1.723611775853727
687,34,7,111388.18,2,1,0,148564.76,0,1,1,0,1,1.0465273633259076
715,41,8,56214.85,2,0,0,92982.61,1,1,0,0,1,0.5810071956630068
512,36,3,84327.77,2,1,0,17675.36,0,1,0,0,1,0.37966657050998204
479,40,1,0.0,2,0,0,114996.43,0,0,0,0,0,0.10137076488649303
601,32,8,93012.89,1,1,0,86957.42,0,0,0,0,1,-0.41184714197240885
580,29,9,61710.44,2,1,0,128077.8,0,0,0,1,1,-0.7641375551134505
807,35,3,174790.15,1,1,1,600.36,0,0,0,0,1,-1.10841836789284
616,32,6,0.0,2,1,1,43001.46,0,1,0,1,0,-1.1724446361181102
721,37,3,107720.64,1,1,1,158591.12,0,0,1,0,1,-0.08273753212706571
501,57,10,0.0,2,1,1,47847.19,0,0,0,0,0,0.23233528128964878
521,35,6,96423.84,1,1,0,10488.44,0,0,0,0,1,-0.13181206836833723
850,30,2,141040.01,1,1,1,5978.2,0,0,0,1,1,-1.5440783191781626
759,42,4,105420.18,1,0,1,121409.06,0,0,0,0,1,-0.5961580421649965
516,50,5,0.0,1,0,1,146145.93,1,0,0,1,0,-0.0340438815362077
711,38,2,129022.06,2,1,1,14374.86,1,1,0,0,1,-0.47568282248289195
512,33,3,176666.62,1,1,0,94670.77,0,0,0,1,1,-0.014672845065733419
550,37,3,0.0,1,1,1,179670.31,0,0,0,0,0,-1.0772691322788377
608,41,3,89763.84,1,0,0,199304.74,1,1,0,1,1,0.9689064654436432
618,34,5,134954.53,1,1,1,151954.39,0,0,0,0,1,-1.0951960453474114
643,45,5,0.0,1,1,0,142513.5,1,0,0,0,0,0.413439021566778
671,45,2,106376.85,1,0,1,158264.62,0,0,0,0,1,-0.26197949057241865
689,33,2,161814.64,2,1,0,169381.9,0,0,1,0,1,0.6261668689862521
603,31,8,0.0,2,1,1,169915.02,0,0,0,0,0,-1.7523074612225746
620,41,9,0.0,2,0,0,88852.47,0,1,0,0,0,0.4855144151852063
676,34,1,63095.01,1,1,1,40645.81,0,1,0,0,1,-0.7571420001104162
572,26,4,118287.01,2,0,0,60427.3,0,0,1,0,1,0.033729608426868
668,47,7,106854.21,1,0,1,157959.02,1,0,1,0,1,0.7012614991796221
695,46,7,49512.55,1,1,0,133007.34,0,0,0,0,1,0.5547083044352137
730,33,9,0.0,2,0,0,176576.62,0,1,0,1,0,-0.13267102629711208
807,43,1,105799.32,2,1,0,34888.04,1,0,0,0,1,0.28627855846844635
592,54,8,0.0,1,1,1,28737.71,1,0,0,0,0,0.06705314900164665
726,31,9,114722.05,2,1,1,98178.57,0,1,0,0,1,-1.1053954542258768
514,30,7,0.0,1,0,1,125010.24,0,0,0,1,0,-1.60955716180397
567,42,2,0.0,2,1,1,167984.61,0,0,0,0,0,-0.8033138956946428
850,33,10,0.0,1,1,0,4861.72,1,0,0,0,0,-0.7770082309022074
671,45,6,99564.22,1,1,1,108872.45,1,0,1,0,1,0.4867589624143354
670,37,4,170557.91,2,1,0,198252.88,0,0,0,0,1,0.07859939325968861
694,30,9,0.0,2,1,1,26960.31,0,1,0,0,0,-1.4525773775714603
547,39,6,74596.15,3,1,1,85746.52,1,1,1,0,1,0.34701988508915693
751,50,2,96888.39,1,1,0,77206.25,1,0,1,0,1,1.831469350148905
594,29,3,130830.22,1,1,0,61048.53,0,1,1,0,1,0.8792925552988973
673,72,1,0.0,2,0,1,111981.19,0,0,0,0,0,1.4589229674408823
610,40,0,0.0,2,1,0,62232.6,0,0,0,0,0,-0.029920746305044495
512,37,1,0.0,2,0,1,156105.03,0,1,0,0,0,-0.5938255097266831
767,20,3,119714.25,2,0,1,150135.38,0,0,1,0,1,-1.476091216408472
585,67,5,113978.97,2,0,1,93146.11,0,1,0,0,1,1.8422507615954893
763,42,6,100160.75,1,1,0,33462.94,1,0,1,0,1,1.140353349575298
712,29,2,0.0,1,1,1,144375.0,0,1,0,0,0,-1.2854569800252806
539,43,3,116220.5,3,1,0,55803.96,1,1,1,0,1,1.7467429782208046
668,46,2,0.0,3,1,0,89048.46,1,1,0,0,0,0.7900426730575296
703,28,2,81173.83,2,0,1,162812.16,0,0,0,0,1,-1.7472592745838296
662,38,4,0.0,2,1,0,136259.65,0,0,0,1,0,-0.20752266177799084
725,39,5,116803.8,1,1,0,124052.97,0,1,1,0,1,1.5400158831736173
703,37,8,105961.68,2,0,1,74158.8,0,0,0,0,1,-1.126661365898792
659,67,6,117411.6,1,1,1,45071.09,1,0,1,0,1,2.193810379919862
523,34,7,0.0,2,1,0,62030.06,0,0,0,1,0,-0.4998496819644098
635,40,10,123497.58,1,1,0,131953.23,1,1,0,0,1,0.7540622551026863
772,26,7,152400.51,2,1,0,79414.0,0,0,1,0,1,-0.09426716671069736
545,26,1,0.0,2,1,1,199638.56,0,1,0,0,0,-1.4759918218022552
634,24,8,103097.85,1,1,1,157577.29,0,0,1,0,1,-1.1028915502360506
739,54,8,126418.14,1,1,0,134420.75,1,0,1,0,1,2.1533043902643114
771,36,5,77846.9,1,0,0,99805.99,0,1,1,0,1,1.225013211090989
587,34,1,0.0,2,1,1,97932.68,0,1,0,1,0,-0.9074175909649718
681,79,0,0.0,2,0,1,170968.99,0,1,0,0,0,2.5510944885604467
544,37,2,79731.91,1,1,1,57558.95,0,0,1,0,1,-0.05712577206464176
696,28,8,0.0,1,0,0,176713.47,0,0,0,1,0,-0.8916775784861353
766,41,0,0.0,2,0,1,34283.23,0,0,0,1,0,-0.9848770952343658
727,34,10,0.0,2,1,1,198637.34,0,0,0,0,0,-1.614845790527041
671,34,6,37266.67,2,0,0,156917.12,0,1,1,0,1,0.9625349710559259
693,30,6,127992.25,1,1,1,50457.2,0,1,0,0,1,-1.0101160464649668
850,38,3,54901.01,1,1,1,140075.55,0,0,1,0,1,-0.20238581094191943
732,42,9,108748.08,2,1,1,65323.11,0,0,1,0,1,0.06599987142318496
726,48,6,99906.19,1,1,0,64323.24,0,1,0,1,1,1.313326564853656
557,32,6,184686.41,2,1,0,14956.44,0,1,0,0,1,0.19861908614813623
682,26,0,110654.02,1,0,1,111879.21,0,1,0,0,1,-1.2026214550689949
738,31,9,79019.8,1,1,1,18606.23,0,0,0,1,1,-1.6024398004303055
531,36,9,99240.51,1,1,0,123137.01,0,1,0,1,1,0.5031406139670587
498,34,2,0.0,2,1,1,148528.24,0,0,0,0,0,-1.383729605672016
651,36,7,0.0,2,1,0,13898.31,0,0,0,0,0,-0.4800902717867917
549,39,7,0.0,1,0,0,81259.25,1,1,0,1,0,0.5363173975890589
791,35,7,52436.2,1,1,0,161051.75,0,1,1,0,1,1.053547491815779
650,41,9,0.0,2,0,1,191599.67,0,0,0,1,0,-0.9535276532038013
733,34,3,100337.96,3,1,0,48559.19,1,0,1,0,1,0.3754324530688354
811,34,1,149297.19,2,1,1,186339.74,0,1,1,0,1,0.1581962698847223
707,30,8,0.0,2,1,0,33159.37,0,0,0,0,0,-0.9827666563407932
712,28,4,145605.44,1,0,1,93883.53,0,0,1,0,1,-0.7053728907210849
706,37,7,0.0,2,1,1,110899.3,0,1,0,1,0,-0.8269995134990561
756,62,3,0.0,1,1,1,11199.04,1,0,0,0,0,0.6340490548342139
777,53,10,0.0,2,1,0,189992.97,0,1,0,0,0,1.3080949249853815
646,35,6,84026.86,1,0,1,164255.69,0,0,0,0,1,-1.1097938923410808
714,46,1,0.0,1,1,0,152167.79,1,0,0,0,0,0.5015982791899137
782,39,8,0.0,2,1,1,33949.67,0,0,0,0,0,-1.317296207024387
775,29,10,0.0,2,1,1,68143.93,0,0,0,1,0,-2.065081554215332
479,35,4,138718.92,1,1,1,47251.79,1,0,1,0,1,-0.08416550227159615
807,42,7,118274.71,1,1,1,25885.72,0,0,0,0,1,-0.7212066290489688
799,22,8,174185.98,2,0,1,192633.85,0,1,0,0,1,-1.6371392845391926
675,40,7,113208.86,2,1,0,34577.36,0,0,0,0,1,0.07641434590726252
602,29,5,103907.28,1,1,0,161229.84,0,0,0,1,1,-0.5192539179211213
475,32,8,119023.28,1,1,0,100816.29,0,1,0,0,1,0.24502587175434254
744,26,5,166297.89,1,1,1,181694.44,0,1,0,1,1,-1.1726386702177154
588,34,10,0.0,2,1,0,79078.91,0,0,0,1,0,-0.5737413429337447
703,42,9,63227.0,1,0,1,137316.32,0,0,1,0,1,0.17140076620991462
747,41,5,94521.17,2,1,0,194926.86,0,1,0,1,1,0.7173578329204445
583,27,7,0.0,2,1,0,51285.49,0,0,0,0,0,-1.1112133171911547
750,34,9,112822.26,1,0,0,150401.53,1,1,0,1,1,0.280123969335294
681,38,3,0.0,2,1,1,112491.96,0,0,0,0,0,-1.2252070767768868
773,25,2,135903.33,1,1,0,73656.38,0,0,0,0,1,-0.9058253150875387
714,31,4,125169.26,1,1,1,106636.89,0,1,0,0,1,-0.8992682968272367
687,44,7,0.0,3,1,0,155853.52,1,1,0,1,0,0.6173125255170463
511,58,0,149117.31,1,1,1,162599.51,0,0,0,0,1,0.921905939438411
627,33,5,0.0,2,1,1,103737.82,0,0,0,0,0,-1.6056786820962563
694,31,10,0.0,2,1,0,160990.27,0,1,0,0,0,-0.3459897150331616
616,36,6,132311.71,1,0,0,15462.84,0,1,0,1,1,0.5354055835383508
687,35,8,0.0,2,1,0,10334.05,0,0,0,0,0,-0.5954663399222443
712,33,6,0.0,2,1,1,190686.16,0,1,0,0,0,-1.1159676506774259
553,33,4,118082.89,1,0,0,94440.45,0,0,0,0,1,-0.1637898817713008
667,31,1,119266.69,1,1,1,28257.63,0,0,0,0,1,-1.3948652909937145
731,43,2,0.0,1,1,1,170034.95,1,0,0,0,0,-0.7244684476404442
629,35,7,156847.29,2,1,0,31824.29,0,0,1,0,1,0.6782555218111356
614,50,4,137104.47,1,1,0,127166.49,1,0,0,0,1,1.124587312596676
438,31,8,78398.69,1,1,0,44937.01,0,0,1,0,1,0.44118631711277934
652,80,4,0.0,2,1,1,188603.07,0,1,0,0,0,2.568443330143846
729,30,6,63669.42,1,1,0,145111.37,0,0,1,0,1,0.21951595396245316
642,38,3,0.0,2,0,0,171463.83,0,0,0,0,0,-0.15851563276111305
806,59,0,135296.33,1,1,0,182822.5,0,1,1,0,1,3.157869688914704
744,36,2,153804.44,1,1,1,87213.33,0,0,0,1,1,-0.9492675132958074
474,37,3,0.0,2,0,0,57175.32,0,0,0,1,0,-0.15223252005177632
559,49,2,147069.78,1,1,0,120540.83,1,0,0,0,1,1.1262683028195437
706,42,9,0.0,2,1,1,28714.34,0,0,0,1,0,-1.02436850310855
628,22,3,0.0,1,1,0,85426.28,0,1,0,1,0,-0.8037827973811987
429,24,4,95741.75,1,1,0,46170.75,0,0,0,0,1,-0.8770683997778655
525,57,2,145965.33,1,1,1,64448.36,0,1,0,1,1,1.301698804616567
680,30,8,141441.75,1,1,1,16278.97,0,1,0,0,1,-1.0178347165318207
749,40,1,139290.41,1,1,0,182855.42,1,0,0,0,1,0.3367591568651374
763,31,4,0.0,2,0,0,50404.72,0,1,0,0,0,-0.3300622368149348
734,30,3,0.0,2,1,0,107640.25,0,0,0,0,0,-0.8989966400156464
716,35,4,144428.87,1,1,0,134132.65,0,0,0,0,1,-0.07946286710556023
594,35,2,0.0,2,1,0,103480.69,0,0,0,0,0,-0.41143707988751094
644,46,9,95441.27,1,1,0,108761.05,1,1,0,0,1,1.1573695791429108
671,35,1,144848.74,1,1,1,179012.3,0,0,1,0,1,-0.09511355574399817
664,26,7,116244.14,2,1,1,95145.14,0,0,1,0,1,-1.0666952827389988
656,50,7,0.0,2,0,1,72143.44,0,0,0,0,0,-0.3225526544211869
667,40,1,146502.07,1,1,0,19162.89,0,1,0,1,1,0.8718253169058987
663,44,2,117028.6,2,0,1,144680.18,0,0,1,0,1,0.44547351591339657
584,30,8,112013.81,1,1,0,177772.03,1,1,1,0,1,0.9151739630614395
626,37,6,108269.37,1,1,0,5597.94,0,1,0,1,1,0.5198672286729084
485,29,7,182123.79,1,1,0,116828.51,1,0,0,0,1,-0.3647811072022523
659,32,3,150923.74,2,0,1,174652.51,0,1,1,0,1,0.1085531168648418
