,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Gender_int,Geography_France,Geography_Germany,Geography_Spain,Exited,Age,CreditScore
57,0,75888.2,1,0,0,45613.75,0,0,1,0,0,2.9444389791664403,6.586171654854675
58,4,0.0,1,1,0,1643.11,1,0,0,1,1,4.189654742026425,6.236369590203704
59,4,40685.92,1,1,1,46775.28,0,1,0,0,0,3.9318256327243257,6.419994928147142
60,5,136857.0,1,0,0,84509.57,0,0,1,0,0,3.5553480614894135,6.60934924316738
61,9,152328.88,2,0,0,126494.82,1,0,1,0,0,3.295836866004329,6.532334292222349
62,1,56084.69,2,0,0,178798.13,0,0,0,1,0,3.4965075614664802,6.318968113746434
63,8,78707.16,1,1,1,99398.36,0,0,0,1,0,4.02535169073515,6.52795791762255
64,4,109166.37,1,1,1,92840.67,0,0,1,0,0,3.258096538021482,6.401917196727186
65,6,169831.46,2,1,1,27758.36,1,0,1,0,0,3.58351893845611,6.621405651764134
66,1,101633.04,1,1,0,110431.51,1,0,1,0,0,3.5263605246161616,6.364750756851911
67,10,123180.01,2,1,1,196673.28,0,0,1,0,0,3.7612001156935624,6.5998704992128365
68,5,150725.53,2,0,1,113656.85,1,0,1,0,0,3.5553480614894135,6.493753839851686
69,8,98373.26,1,1,0,18203.0,1,1,0,0,0,3.044522437723423,6.51471269087253
70,2,133745.44,4,1,0,28373.86,0,0,1,0,1,4.060443010546419,6.6039438246004725
71,6,0.0,1,1,0,33953.87,0,1,0,0,0,3.367295829986474,6.70073110954781
72,0,163607.18,1,0,1,44203.55,1,0,0,1,0,3.6109179126442243,6.48768401848461
73,5,157780.84,2,1,1,58426.81,1,0,1,0,0,3.2188758248682006,6.403574197934815
74,9,0.0,2,0,1,145562.4,0,1,0,0,0,3.58351893845611,6.251903883165888
75,1,178718.19,2,1,0,22388.0,1,1,0,0,0,3.044522437723423,6.5998704992128365
76,8,0.0,2,1,1,139161.64,0,1,0,0,0,4.007333185232471,6.498282149476434
77,9,0.0,1,1,1,148210.64,1,1,0,0,0,3.4657359027997265,6.519147287940395
78,5,77253.22,1,0,1,194239.63,0,0,0,1,0,3.4965075614664802,6.6293632534374485
79,10,122189.66,2,1,0,98301.61,1,0,1,0,0,3.713572066704308,6.030685260261263
80,1,96645.54,2,0,0,171413.66,1,1,0,0,0,3.5263605246161616,6.499787040655854
81,2,0.0,1,1,0,136458.19,1,1,0,0,1,3.4657359027997265,6.655440350367647
82,3,0.0,2,0,0,26019.59,1,1,0,0,0,3.58351893845611,6.297109319933935
83,4,90307.62,1,1,1,159235.29,1,1,0,0,0,3.5263605246161616,6.226536669287466
84,4,0.0,2,1,0,1907.66,1,1,0,0,0,3.828641396489095,6.20050917404269
85,10,0.0,2,1,1,114675.75,1,0,0,1,0,4.31748811353631,6.480044561926653
86,3,121681.82,1,1,0,128643.35,0,0,0,1,1,3.091042453358316,6.620073206530356
87,9,0.0,2,1,0,151869.35,0,1,0,0,0,3.4011973816621555,6.591673732008658
88,4,0.0,3,1,0,93251.42,1,1,0,0,1,3.828641396489095,6.470799503782602
89,3,81623.67,2,1,1,156791.36,1,0,1,0,0,3.332204510175204,6.453624998892692
90,5,0.0,3,1,1,174205.22,1,0,0,1,1,3.784189633918261,6.472346294500901
91,7,118626.55,2,1,0,147132.46,0,1,0,0,0,3.8066624897703196,6.694562058521095
92,10,0.0,2,1,0,109614.57,1,1,0,0,0,3.58351893845611,6.261491684321042
93,8,0.0,2,1,1,172290.61,0,1,0,0,0,3.367295829986474,6.645090969505644
94,4,0.0,2,0,1,85982.47,0,0,0,1,0,3.7376696182833684,6.593044534142437
95,10,176273.95,1,0,1,121277.78,0,0,0,1,0,3.5553480614894135,6.244166900663736
96,9,102827.44,1,0,1,64595.25,0,0,0,1,0,3.713572066704308,6.650279048587422
97,8,97086.4,2,1,1,197276.13,0,0,1,0,0,3.367295829986474,6.70196036600254
98,8,0.0,2,0,0,99645.04,0,0,0,1,0,3.091042453358316,6.565264970035361
99,9,0.0,2,0,0,6534.18,0,1,0,0,0,3.5263605246161616,6.023447592961033
100,6,0.0,1,1,1,161848.03,1,1,0,0,0,3.6888794541139363,6.499787040655854
101,6,0.0,2,0,0,167162.43,1,1,0,0,0,3.784189633918261,6.434546518787453
102,9,82674.15,1,1,0,41970.72,0,1,0,0,0,3.4339872044851463,6.6039438246004725
103,7,0.0,2,1,0,60536.56,0,0,0,1,0,3.58351893845611,6.269096283706261
104,1,0.0,1,1,1,177655.68,1,0,0,1,1,4.174387269895637,6.507277712385012
105,4,107073.27,2,1,1,30984.59,1,0,0,1,1,3.828641396489095,6.432940092739179
106,1,88938.62,1,1,1,10054.53,0,0,1,0,0,3.4657359027997265,6.366470447731438
107,2,99806.85,1,0,1,36976.52,1,0,1,0,0,3.58351893845611,6.665683717782408
108,5,150092.8,1,0,0,71862.79,0,0,0,1,0,3.4965075614664802,6.405228458030842
109,9,92833.89,1,1,0,99449.86,0,0,1,0,1,3.5553480614894135,6.171700597410915
110,3,90536.81,1,0,1,63082.88,0,0,1,0,0,3.4011973816621555,6.529418838262226
111,7,108055.1,2,1,0,27231.26,0,0,1,0,0,3.6635616461296463,6.2878585601617845
112,2,100238.35,1,0,0,86797.41,0,1,0,0,0,3.7376696182833684,6.331501849893691
113,9,106190.55,1,0,1,22994.32,0,0,0,1,0,3.58351893845611,6.51471269087253
114,9,154475.54,2,0,1,101300.94,0,0,1,0,1,3.332204510175204,6.580639137284949
115,9,132351.29,2,1,1,74169.13,1,0,1,0,0,3.4011973816621555,6.4425401664681985
116,6,167864.4,1,1,0,115638.29,1,0,1,0,0,3.6109179126442243,6.504288173536645
117,1,0.0,2,1,0,31766.3,1,1,0,0,0,3.713572066704308,6.226536669287466
118,8,107818.63,1,1,0,199725.39,1,0,1,0,1,3.4339872044851463,6.261491684321042
119,4,185173.81,2,1,0,120834.48,0,0,1,0,0,3.5263605246161616,6.54965074223381
120,8,129433.34,2,0,0,38131.77,0,1,0,0,0,3.5263605246161616,6.71901315438526
121,6,120193.42,1,0,0,100130.95,0,0,0,1,0,3.6635616461296463,6.513230110912307
122,6,0.0,2,1,0,141069.88,1,1,0,0,0,3.6635616461296463,6.486160788944089
123,10,126384.42,1,1,1,198129.36,1,0,1,0,0,3.871201010907891,6.52795791762255
124,3,0.0,1,0,0,183646.41,1,1,0,0,0,3.332204510175204,6.437751649736401
125,9,152603.45,1,1,0,110265.24,0,1,0,0,1,3.7376696182833684,6.068425588244111
126,1,0.0,1,0,1,8636.05,1,1,0,0,1,3.9512437185814275,6.3080984415095305
127,0,148507.24,1,1,0,46824.08,0,0,1,0,1,4.02535169073515,6.437751649736401
128,7,0.0,2,1,0,171378.77,1,1,0,0,0,3.713572066704308,6.71901315438526
129,9,101827.07,1,1,0,167256.35,0,1,0,0,0,3.1780538303479458,6.646390514847729
130,3,0.0,2,1,1,124226.16,1,1,0,0,0,3.5263605246161616,6.630683385642372
131,9,130862.43,1,1,1,114935.21,1,0,1,0,0,3.4965075614664802,6.678342114654332
132,9,122570.87,1,1,1,35608.88,0,1,0,0,0,3.6375861597263857,6.532334292222349
133,1,0.0,2,0,1,16459.37,0,1,0,0,0,3.2188758248682006,6.530877627725885
134,7,124828.46,2,1,1,124411.08,0,0,1,0,0,3.6635616461296463,6.670766320845874
135,5,144895.05,2,1,1,34941.23,1,0,1,0,0,3.912023005428146,6.3784261836515865
136,5,63663.93,1,0,1,167784.28,1,0,1,0,0,3.5263605246161616,6.133398042996649
137,2,133463.1,1,0,1,93165.34,0,1,0,0,0,3.6888794541139363,6.456769655572163
138,2,213146.2,1,1,0,75161.25,1,0,0,1,1,3.871201010907891,6.369900982828227
139,1,129490.36,2,0,1,8590.83,1,0,0,1,1,3.5553480614894135,6.361302477572996
140,10,137452.09,1,1,0,189543.9,0,0,1,0,0,3.784189633918261,6.628041376179533
141,7,0.0,2,1,1,180427.24,0,1,0,0,0,3.5263605246161616,6.4967749901858625
142,5,125851.93,1,1,1,193318.33,1,1,0,0,0,3.7612001156935624,6.525029657843462
143,2,0.0,1,1,0,159123.82,0,0,0,1,1,3.9512437185814275,6.675823221634848
144,5,40915.55,1,1,0,126213.84,1,1,0,0,1,3.4339872044851463,6.53813982376767
145,5,113157.22,1,1,1,54141.5,1,0,0,1,0,3.044522437723423,6.184148890937483
146,8,138296.94,2,1,0,141075.51,1,0,0,1,0,3.367295829986474,6.453624998892692
147,5,106967.18,1,0,0,24495.03,0,1,0,0,0,3.6109179126442243,6.476972362889683
148,9,120681.63,1,1,0,74836.34,0,1,0,0,0,3.784189633918261,6.5998704992128365
149,0,0.0,2,0,1,878.87,0,1,0,0,0,3.4657359027997265,6.030685260261263
150,7,0.0,2,1,0,89520.75,1,0,0,1,0,3.4657359027997265,6.625392368007956
151,9,0.0,1,1,0,149892.79,1,1,0,0,1,3.871201010907891,6.282266746896006
152,8,0.0,2,1,0,180800.42,0,0,0,1,0,3.7376696182833684,6.573680166960646
153,2,127609.59,1,1,0,98646.22,0,1,0,0,0,3.6109179126442243,6.289715570908998
154,6,0.0,2,1,1,109041.53,1,1,0,0,0,3.7612001156935624,6.419994928147142
155,7,0.0,1,1,0,17941.16,0,0,0,1,1,4.04305126783455,6.559615237493242
156,7,0.0,2,0,0,82996.47,1,1,0,0,0,3.4965075614664802,6.630683385642372
157,2,0.0,2,1,1,92067.35,1,0,0,1,0,3.332204510175204,6.373319789577012
158,6,97259.25,1,0,1,104719.66,1,1,0,0,0,4.290459441148391,6.470799503782602
159,4,123246.7,1,0,0,112687.57,1,0,1,0,0,3.4965075614664802,6.447305862541213
160,6,101060.25,1,0,1,84699.56,1,0,0,1,0,3.091042453358316,6.57507584059962
161,2,0.0,2,1,0,83473.82,0,1,0,0,0,3.4011973816621555,6.52795791762255
162,7,108007.36,1,0,0,47125.11,1,1,0,0,0,3.8918202981106265,6.684611727667927
163,2,0.0,2,1,1,106977.8,1,0,0,1,0,3.58351893845611,6.580639137284949
164,0,133702.89,1,1,0,55582.54,0,0,0,1,1,3.367295829986474,6.52649485957079
165,9,125189.75,2,1,1,139874.43,0,0,1,0,0,3.4339872044851463,6.492239835020471
166,7,113034.22,1,1,0,162503.48,1,0,1,0,1,3.1780538303479458,6.556778356158042
167,9,109013.23,1,1,0,196499.96,1,0,0,1,0,3.713572066704308,6.421622267806518
168,2,0.0,2,1,0,40721.24,1,0,0,1,1,3.6635616461296463,6.502790045915623
169,9,57929.81,2,0,0,53134.3,0,0,1,0,0,3.1780538303479458,6.525029657843462
170,4,130114.39,1,1,0,164017.89,1,1,0,0,0,3.367295829986474,6.182084906716632
171,5,95826.49,2,1,0,155996.96,0,0,1,0,0,3.295836866004329,6.4425401664681985
172,10,129608.57,1,1,0,5472.7,0,0,1,0,1,3.784189633918261,6.173786103901937
173,4,169462.09,1,1,0,112187.11,0,1,0,0,0,3.4011973816621555,6.359573868672378
174,5,0.0,2,1,1,146457.83,0,1,0,0,0,3.6888794541139363,6.238324625039508
175,7,133868.21,1,1,1,27286.1,1,0,0,1,0,3.5553480614894135,6.182084906716632
176,0,0.0,2,1,1,130553.47,1,1,0,0,0,3.4011973816621555,6.234410725718371
177,5,190479.48,2,0,0,179351.89,0,0,1,0,0,3.58351893845611,6.406879986069314
178,8,101993.12,1,0,1,94774.12,1,0,0,1,0,3.6888794541139363,6.391917113392602
179,3,161608.81,1,1,0,8080.85,1,0,1,0,1,4.007333185232471,6.625392368007956
180,2,122311.21,1,1,1,19482.5,1,0,0,1,0,3.8066624897703196,6.745236349484363
181,2,0.0,2,1,1,48071.61,0,1,0,0,0,4.174387269895637,6.234410725718371
182,1,162150.42,2,1,0,174531.27,1,0,1,0,0,3.8066624897703196,6.656726524178391
183,2,0.0,2,1,1,55470.78,0,1,0,0,0,3.7376696182833684,6.455198563340122
184,4,0.0,1,1,1,8546.87,1,1,0,0,1,3.912023005428146,6.6895992691789665
185,8,0.0,2,1,0,95857.18,0,1,0,0,0,3.4657359027997265,6.2422232654551655
186,1,99010.67,1,1,0,194945.8,1,1,0,0,0,3.6635616461296463,6.593044534142437
187,0,0.0,1,0,1,131521.72,1,0,0,1,0,3.6109179126442243,6.263398262591624
188,5,0.0,2,0,1,196108.51,0,0,0,1,0,3.4011973816621555,6.423246963533519
189,7,111388.18,2,1,0,148564.76,1,0,1,0,0,3.5263605246161616,6.532334292222349
190,8,56214.85,2,0,0,92982.61,1,1,0,0,1,3.713572066704308,6.5722825426940075
191,3,84327.77,2,1,0,17675.36,1,1,0,0,0,3.58351893845611,6.238324625039508
192,1,0.0,2,0,0,114996.43,0,1,0,0,0,3.6888794541139363,6.171700597410915
193,8,93012.89,1,1,0,86957.42,0,1,0,0,0,3.4657359027997265,6.398594934535208
194,9,61710.44,2,1,0,128077.8,0,0,0,1,0,3.367295829986474,6.363028103540465
195,3,174790.15,1,1,1,600.36,0,1,0,0,0,3.5553480614894135,6.693323668269949
196,6,0.0,2,1,1,43001.46,1,0,0,1,0,3.4657359027997265,6.423246963533519
197,3,107720.64,1,1,1,158591.12,0,0,1,0,0,3.6109179126442243,6.580639137284949
198,10,0.0,2,1,1,47847.19,0,1,0,0,0,4.04305126783455,6.2166061010848646
199,6,96423.84,1,1,0,10488.44,0,1,0,0,0,3.5553480614894135,6.255750041753367
200,2,141040.01,1,1,1,5978.2,0,0,0,1,0,3.4011973816621555,6.745236349484363
201,4,105420.18,1,0,1,121409.06,0,1,0,0,0,3.7376696182833684,6.63200177739563
202,5,0.0,1,0,1,146145.93,0,0,0,1,1,3.912023005428146,6.246106765481563
203,2,129022.06,2,1,1,14374.86,1,1,0,0,1,3.6375861597263857,6.566672429803241
204,3,176666.62,1,1,0,94670.77,0,0,0,1,0,3.4965075614664802,6.238324625039508
205,3,0.0,1,1,1,179670.31,0,1,0,0,0,3.6109179126442243,6.309918278226516
206,3,89763.84,1,0,0,199304.74,1,0,0,1,1,3.713572066704308,6.410174881966167
207,5,134954.53,1,1,1,151954.39,0,1,0,0,0,3.5263605246161616,6.42648845745769
208,5,0.0,1,1,0,142513.5,0,1,0,0,1,3.8066624897703196,6.466144724237619
209,2,106376.85,1,0,1,158264.62,0,1,0,0,0,3.8066624897703196,6.508769136971682
210,2,161814.64,2,1,0,169381.9,0,0,1,0,0,3.4965075614664802,6.535241271013659
211,8,0.0,2,1,1,169915.02,0,1,0,0,0,3.4339872044851463,6.401917196727186
212,9,0.0,2,0,0,88852.47,1,1,0,0,0,3.713572066704308,6.429719478039138
213,1,63095.01,1,1,1,40645.81,1,1,0,0,0,3.5263605246161616,6.516193076042964
214,4,118287.01,2,0,0,60427.3,0,0,1,0,0,3.258096538021482,6.349138991379798
215,7,106854.21,1,0,1,157959.02,0,0,1,0,1,3.8501476017100584,6.504288173536645
216,7,49512.55,1,1,0,133007.34,0,1,0,0,0,3.828641396489095,6.543911845564792
217,9,0.0,2,0,0,176576.62,1,0,0,1,0,3.4965075614664802,6.593044534142437
218,1,105799.32,2,1,0,34888.04,0,1,0,0,1,3.7612001156935624,6.693323668269949
219,8,0.0,1,1,1,28737.71,0,1,0,0,1,3.9889840465642745,6.3835066348840055
220,9,114722.05,2,1,1,98178.57,1,1,0,0,0,3.4339872044851463,6.587550014824796
221,7,0.0,1,0,1,125010.24,0,0,0,1,0,3.4011973816621555,6.2422232654551655
222,2,0.0,2,1,1,167984.61,0,1,0,0,0,3.7376696182833684,6.340359303727752
223,10,0.0,1,1,0,4861.72,0,1,0,0,1,3.4965075614664802,6.745236349484363
224,6,99564.22,1,1,1,108872.45,0,0,1,0,1,3.8066624897703196,6.508769136971682
225,4,170557.91,2,1,0,198252.88,0,1,0,0,0,3.6109179126442243,6.507277712385012
226,9,0.0,2,1,1,26960.31,1,1,0,0,0,3.4011973816621555,6.542471960506805
227,6,74596.15,3,1,1,85746.52,1,0,1,0,1,3.6635616461296463,6.304448802421981
228,2,96888.39,1,1,0,77206.25,0,0,1,0,1,3.912023005428146,6.621405651764134
229,3,130830.22,1,1,0,61048.53,1,0,1,0,0,3.367295829986474,6.386879319362645
230,1,0.0,2,0,1,111981.19,0,1,0,0,0,4.276666119016055,6.511745329644728
231,0,0.0,2,1,0,62232.6,0,1,0,0,0,3.6888794541139363,6.413458957167357
232,1,0.0,2,0,1,156105.03,1,1,0,0,0,3.6109179126442243,6.238324625039508
233,3,119714.25,2,0,1,150135.38,0,0,1,0,0,2.995732273553991,6.642486801367256
234,5,113978.97,2,0,1,93146.11,1,1,0,0,0,4.204692619390966,6.371611847231857
235,6,100160.75,1,1,0,33462.94,0,0,1,0,1,3.7376696182833684,6.637258031284457
236,2,0.0,1,1,1,144375.0,1,1,0,0,0,3.367295829986474,6.568077911411976
237,3,116220.5,3,1,0,55803.96,1,0,1,0,1,3.7612001156935624,6.289715570908998
238,2,0.0,3,1,0,89048.46,1,1,0,0,1,3.828641396489095,6.504288173536645
239,2,81173.83,2,0,1,162812.16,0,1,0,0,0,3.332204510175204,6.555356891810665
240,4,0.0,2,1,0,136259.65,0,0,0,1,0,3.6375861597263857,6.495265555937008
241,5,116803.8,1,1,0,124052.97,1,0,1,0,0,3.6635616461296463,6.586171654854675
242,8,105961.68,2,0,1,74158.8,0,1,0,0,0,3.6109179126442243,6.555356891810665
243,6,117411.6,1,1,1,45071.09,0,0,1,0,1,4.204692619390966,6.490723534502507
244,7,0.0,2,1,0,62030.06,0,0,0,1,0,3.5263605246161616,6.259581464064923
245,10,123497.58,1,1,0,131953.23,1,1,0,0,1,3.6888794541139363,6.453624998892692
246,7,152400.51,2,1,0,79414.0,0,0,1,0,0,3.258096538021482,6.648984550024776
247,1,0.0,2,1,1,199638.56,1,1,0,0,0,3.258096538021482,6.300785794663244
248,8,103097.85,1,1,1,157577.29,0,0,1,0,0,3.1780538303479458,6.452048954437226
249,8,126418.14,1,1,0,134420.75,0,0,1,0,1,3.9889840465642745,6.6052979209482015
250,5,77846.9,1,0,0,99805.99,1,0,1,0,0,3.58351893845611,6.647688373563329
251,1,0.0,2,1,1,97932.68,1,0,0,1,0,3.5263605246161616,6.375024819828097
252,0,0.0,2,0,1,170968.99,1,1,0,0,0,4.3694478524670215,6.523562306149512
253,2,79731.91,1,1,1,57558.95,0,0,1,0,0,3.6109179126442243,6.298949246855942
254,8,0.0,1,0,0,176713.47,0,0,0,1,0,3.332204510175204,6.54534966033442
255,0,0.0,2,0,1,34283.23,0,0,0,1,0,3.713572066704308,6.641182169740591
256,10,0.0,2,1,1,198637.34,0,1,0,0,0,3.5263605246161616,6.588926477533519
257,6,37266.67,2,0,0,156917.12,1,0,1,0,0,3.5263605246161616,6.508769136971682
258,6,127992.25,1,1,1,50457.2,1,1,0,0,0,3.4011973816621555,6.541029999189903
259,3,54901.01,1,1,1,140075.55,0,0,1,0,0,3.6375861597263857,6.745236349484363
260,9,108748.08,2,1,1,65323.11,0,0,1,0,0,3.7376696182833684,6.595780513961311
261,6,99906.19,1,1,0,64323.24,1,0,0,1,0,3.871201010907891,6.587550014824796
262,6,184686.41,2,1,0,14956.44,1,1,0,0,0,3.4657359027997265,6.322565239927284
263,0,110654.02,1,0,1,111879.21,1,1,0,0,0,3.258096538021482,6.525029657843462
264,9,79019.8,1,1,1,18606.23,0,0,0,1,0,3.4339872044851463,6.6039438246004725
265,9,99240.51,1,1,0,123137.01,1,0,0,1,0,3.58351893845611,6.274762021241939
266,2,0.0,2,1,1,148528.24,0,1,0,0,0,3.5263605246161616,6.210600077024653
267,7,0.0,2,1,0,13898.31,0,1,0,0,0,3.58351893845611,6.478509642208569
268,7,0.0,1,0,0,81259.25,1,0,0,1,1,3.6635616461296463,6.3080984415095305
269,7,52436.2,1,1,0,161051.75,1,0,1,0,0,3.5553480614894135,6.673297967767654
270,9,0.0,2,0,1,191599.67,0,0,0,1,0,3.713572066704308,6.476972362889683
271,3,100337.96,3,1,0,48559.19,0,0,1,0,1,3.5263605246161616,6.597145701886651
272,1,149297.19,2,1,1,186339.74,1,0,1,0,0,3.5263605246161616,6.698268054115413
273,8,0.0,2,1,0,33159.37,0,1,0,0,0,3.4011973816621555,6.561030665896573
274,4,145605.44,1,0,1,93883.53,0,0,1,0,0,3.332204510175204,6.568077911411976
275,7,0.0,2,1,1,110899.3,1,0,0,1,0,3.6109179126442243,6.559615237493242
276,3,0.0,1,1,1,11199.04,0,1,0,0,1,4.127134385045092,6.628041376179533
277,10,0.0,2,1,0,189992.97,1,1,0,0,0,3.970291913552122,6.655440350367647
278,6,84026.86,1,0,1,164255.69,0,1,0,0,0,3.5553480614894135,6.470799503782602
279,1,0.0,1,1,0,152167.79,0,1,0,0,1,3.828641396489095,6.570882962339584
280,8,0.0,2,1,1,33949.67,0,1,0,0,0,3.6635616461296463,6.661854740545311
281,10,0.0,2,1,1,68143.93,0,0,0,1,0,3.367295829986474,6.652863029353347
282,4,138718.92,1,1,1,47251.79,0,0,1,0,1,3.5553480614894135,6.171700597410915
283,7,118274.71,1,1,1,25885.72,0,1,0,0,0,3.7376696182833684,6.693323668269949
284,8,174185.98,2,0,1,192633.85,1,1,0,0,0,3.091042453358316,6.683360945766275
285,7,113208.86,2,1,0,34577.36,0,1,0,0,0,3.6888794541139363,6.51471269087253
286,5,103907.28,1,1,0,161229.84,0,0,0,1,0,3.367295829986474,6.400257445308821
287,8,119023.28,1,1,0,100816.29,1,1,0,0,0,3.4657359027997265,6.163314804034641
288,5,166297.89,1,1,1,181694.44,1,0,0,1,0,3.258096538021482,6.612041034833092
289,10,0.0,2,1,0,79078.91,0,0,0,1,0,3.5263605246161616,6.376726947898627
290,9,63227.0,1,0,1,137316.32,0,0,1,0,0,3.7376696182833684,6.555356891810665
291,5,94521.17,2,1,0,194926.86,1,0,0,1,0,3.713572066704308,6.616065185132817
292,7,0.0,2,1,0,51285.49,0,1,0,0,0,3.295836866004329,6.368187186350492
293,9,112822.26,1,0,0,150401.53,1,0,0,1,1,3.5263605246161616,6.620073206530356
294,3,0.0,2,1,1,112491.96,0,1,0,0,0,3.6375861597263857,6.523562306149512
295,2,135903.33,1,1,0,73656.38,0,1,0,0,0,3.2188758248682006,6.650279048587422
296,4,125169.26,1,1,1,106636.89,1,1,0,0,0,3.4339872044851463,6.570882962339584
297,7,0.0,3,1,0,155853.52,1,0,0,1,1,3.784189633918261,6.532334292222349
